student_number,day,start_time,end_time,semester,academic year
1811047,Tuesday,14:30 PM,14:30 PM,1st semester ,2019-2020
1830026,Tuesday,13:30 PM,16:30 PM,1st semester ,2019-2020
1830026,Tuesday,14:30 PM,16:30 PM,1st semester ,2019-2020
1830026,Tuesday,15:30 PM,16:30 PM,1st semester ,2019-2020
1830026,Tuesday,16:30 PM,16:30 PM,1st semester ,2019-2020
1814012,Tuesday,9:30 AM,12:30 PM,1st semester ,2019-2020
1814012,Tuesday,10:30 AM,12:30 PM,1st semester ,2019-2020
1814012,Tuesday,11:30 AM,12:30 PM,1st semester ,2019-2020
1814012,Tuesday,12:30 PM,12:30 PM,1st semester ,2019-2020
1813690,Tuesday,8:30 AM,17:30 PM,1st semester ,2019-2020
1813690,Tuesday,9:30 AM,17:30 PM,1st semester ,2019-2020
1813690,Tuesday,10:30 AM,17:30 PM,1st semester ,2019-2020
1813690,Tuesday,16:30 PM,17:30 PM,1st semester ,2019-2020
1813690,Tuesday,17:30 PM,17:30 PM,1st semester ,2019-2020
1814111,Tuesday,13:30 PM,19:30 PM,1st semester ,2019-2020
1814111,Tuesday,14:30 PM,19:30 PM,1st semester ,2019-2020
1814111,Tuesday,15:30 PM,19:30 PM,1st semester ,2019-2020
1814111,Tuesday,16:30 PM,19:30 PM,1st semester ,2019-2020
1814111,Tuesday,17:30 PM,19:30 PM,1st semester ,2019-2020
1814111,Tuesday,18:30 PM,19:30 PM,1st semester ,2019-2020
1814111,Tuesday,19:30 PM,19:30 PM,1st semester ,2019-2020
1811280,Tuesday,13:30 PM,16:30 PM,1st semester ,2019-2020
1811280,Tuesday,14:30 PM,16:30 PM,1st semester ,2019-2020
1811280,Tuesday,15:30 PM,16:30 PM,1st semester ,2019-2020
1811280,Tuesday,16:30 PM,16:30 PM,1st semester ,2019-2020
7654321,Tuesday,8:30 AM,16:30 PM,1st semester ,2019-2020
7654321,Tuesday,9:30 AM,16:30 PM,1st semester ,2019-2020
7654321,Tuesday,10:30 AM,16:30 PM,1st semester ,2019-2020
7654321,Tuesday,15:00 PM,16:30 PM,1st semester ,2019-2020
7654321,Tuesday,16:00 PM,16:30 PM,1st semester ,2019-2020
7654321,Tuesday,16:30 PM,16:30 PM,1st semester ,2019-2020
1813001,Tuesday,15:00 PM,18:00 PM,1st semester ,2019-2020
1813001,Tuesday,16:00 PM,18:00 PM,1st semester ,2019-2020
1813001,Tuesday,17:00 PM,18:00 PM,1st semester ,2019-2020
1813001,Tuesday,18:00 PM,18:00 PM,1st semester ,2019-2020
1726354,Tuesday,10:00 AM,16:00 PM,1st semester ,2019-2020
1726354,Tuesday,11:00 AM,16:00 PM,1st semester ,2019-2020
1726354,Tuesday,12:00 PM,16:00 PM,1st semester ,2019-2020
1726354,Tuesday,16:30 PM,16:00 PM,1st semester ,2019-2020
1726354,Tuesday,17:30 PM,16:00 PM,1st semester ,2019-2020
1726354,Tuesday,16:00 PM,16:00 PM,1st semester ,2019-2020
