1511018,0:00:00,0:00:00,NULL,NULL
1513057,0:00:00,0:00:00,NULL,NULL
1511894,0:00:00,0:00:00,NULL,NULL
1813970,0:00:00,0:00:00,NULL,NULL
1211256,0:00:00,0:00:00,NULL,NULL
1811045,0:00:00,0:00:00,NULL,NULL
1710267,0:00:00,0:00:00,NULL,NULL
1810263,0:00:00,0:00:00,NULL,NULL
1512280,0:00:00,0:00:00,NULL,NULL
1510269,0:00:00,0:00:00,NULL,NULL
1510114,0:00:00,0:00:00,NULL,NULL
1413348,0:00:00,0:00:00,NULL,NULL
1415089,0:00:00,0:00:00,NULL,NULL
1511846,0:00:00,0:00:00,NULL,NULL
1510941,0:00:00,0:00:00,NULL,NULL
1810806,0:00:00,0:00:00,NULL,NULL
1511038,0:00:00,0:00:00,NULL,NULL
1812924,0:00:00,0:00:00,NULL,NULL
1812681,0:00:00,0:00:00,NULL,NULL
1513415,0:00:00,0:00:00,NULL,NULL
1512327,0:00:00,0:00:00,NULL,NULL
1812644,0:00:00,0:00:00,NULL,NULL
1810972,0:00:00,0:00:00,NULL,NULL
1811047,0:00:00,0:00:00,NULL,NULL
1830026,0:00:00,0:00:00,NULL,NULL
1814012,0:00:00,0:00:00,NULL,NULL
1813690,0:00:00,0:00:00,NULL,NULL
1814111,0:00:00,0:00:00,NULL,NULL
1811280,0:00:00,0:00:00,NULL,NULL
1813001,0:00:00,0:00:00,NULL,NULL
1813002,0:00:00,0:00:00,NULL,NULL
