x,day,start_time,end_time,semester,academic year
1511018,Tuesday,10:30,13:30,1st semester ,2019-2020
1513057,Tuesday,15:00,18:00,1st semester ,2019-2020
1511894,Tuesday,16:00,19:00,1st semester ,2019-2020
1813970,Tuesday,10:30,13:30,1st semester ,2019-2020
1211256,Tuesday,10:30,13:30,1st semester ,2019-2020
1811045,Tuesday,16:00,19:00,1st semester ,2019-2020
1810263,Tuesday,10:00,13:00,1st semester ,2019-2020
1512280,Tuesday,16:30,19:30,1st semester ,2019-2020
1510269,Tuesday,9:00,12:00,1st semester ,2019-2020
1413348,Tuesday,18:30,21:30,1st semester ,2019-2020
1511846,Tuesday,12:00,15:00,1st semester ,2019-2020
1510941,Tuesday,11:30,14:30,1st semester ,2019-2020
1810806,Tuesday,16:30,19:30,1st semester ,2019-2020
1511038,Tuesday,16:00,19:00,1st semester ,2019-2020
1812924,Tuesday,8:30,11:30,1st semester ,2019-2020
1812681,Tuesday,14:00,17:00,1st semester ,2019-2020
1513415,Tuesday,12:00,15:00,1st semester ,2019-2020
1812644,Tuesday,16:30,19:30,1st semester ,2019-2020
1810972,Tuesday,8:00,11:00,1st semester ,2019-2020
1830026,Tuesday,13:30,16:30,1st semester ,2019-2020
1814012,Tuesday,9:30,12:30,1st semester ,2019-2020
1813690,Tuesday,8:30,11:30,1st semester ,2019-2020
1814111,Tuesday,15:30,18:30,1st semester ,2019-2020
1811280,Tuesday,13:30,16:30,1st semester ,2019-2020
1813001,Tuesday,15:00,18:00,1st semester ,2019-2020
